Functions,Description,Inputs
Connect-MSOL,Prompts for credential input and then connects to MS Online, MS Exchange and Azure,
Select-O365User,Lists all Office 365 users and prompts the user to select one of them. This returns user Object,
Delete-O365User,"Select the user to delete, removes the mailbox, and then deletes the user object",
Decomission-O365User, Comming Soon to WWCS-TOOLKIT,
Create-O365User, Walks the user through the creation of a new Office user,
Reset-O365Pass, Walks the user through resetting a password for an Office user,

